,CD14+_Monocytes,CD4_T_cells,FCGR3A+_Monocytes,NK_cells,Dendritic_cells,CD8_T_cells,B_cells_1,B_cells_2
AC009107.2,86.779854,331.12997,31.911057,58.248867,0.0,66.08995,62.092693,0.0
CSNK2A2,713.4724,1117.6438,55.375633,98.314255,72.8631,225.0962,159.85822,26.467133
AC009107.1,6.313903,5.1798453,4.8279734,0.0,0.0,0.0,0.0,0.0
CCDC113,5.653342,28.81006,0.0,0.0,0.0,0.0,0.0,0.0
GINS3,30.967548,65.19988,4.030533,0.0,0.0,1.772367,0.0,0.0
AC009118.2,0.0,32.635548,6.6425004,0.0,0.0,0.0,17.454641,0.0
NDRG4,0.0,31.811165,0.0,0.0,0.0,0.0,0.0,0.0
SETD6,90.71674,230.1396,20.740608,22.770237,2.199674,54.133286,35.151287,2.291185
CNOT1,1773.1393,3116.2244,330.09085,271.55646,167.21957,578.21356,554.8726,54.212788
AC009118.3,15.046118,122.42863,3.4292998,0.0,8.282968,20.089554,17.934597,2.7609892
SLC38A7,298.08676,267.286,23.02766,0.0,11.263011,18.146751,22.523787,9.623823
GOT2,145.02019,467.50284,24.11609,33.16896,58.426037,98.9325,88.31961,12.763926
AC106793.1,42.667767,30.821453,4.516168,0.0,0.0,0.0,0.0,0.0
LINC02141,4.90762,19.2326,0.0,0.0,0.0,0.0,0.0,0.0
CDH8,6.624654,26.074648,0.0,0.0,0.0,0.0,0.0,0.0
AC012174.1,7.7117906,7.1681795,5.1402144,0.0,0.0,0.0,0.0,0.0
AC138305.1,5.4595103,19.402258,4.058562,0.0,0.0,0.0,0.0,0.0
AC009055.1,0.0,15.884024,0.0,0.0,9.686381,0.0,0.0,0.0
LINC00920,6.069128,158.85667,0.0,0.0,0.0,0.0,0.0,0.0
BEAN1,113.575966,7.262993,0.0,22.155487,2.318332,0.0,3.5812032,3.5812032
BEAN1-AS1,5.164672,3.8022547,0.0,0.0,0.0,3.8022547,0.0,0.0
TK2,1011.491,278.89267,119.51309,40.280163,112.28782,102.304955,35.748947,10.062962
AC010542.2,29.509445,28.648296,5.071476,0.0,0.0,0.0,0.0,0.0
AC010542.4,12.219947,0.0,0.0,0.0,0.0,7.33014,0.0,0.0
CKLF,1301.2058,1515.6642,169.54298,348.90604,251.80586,631.5524,102.82525,22.920294
AC010542.5,0.0,13.445748,0.0,8.628103,0.0,0.0,0.0,0.0
CMTM1,200.01868,149.85912,14.544498,32.62527,31.54652,20.003624,3.114624,3.114624
CMTM2,67.15597,8.103372,0.0,0.0,0.0,0.0,0.0,0.0
CMTM3,483.4529,1096.8345,81.10164,134.10524,213.51361,261.95407,52.64138,19.5611
CMTM4,637.12646,66.46727,18.315323,0.0,40.71278,0.0,0.0,0.0
DYNC1LI2,1304.8932,1047.8457,199.74782,127.99238,133.22697,211.9192,239.48471,20.444603
AC018557.1,128.6461,99.54627,19.084282,25.305223,3.401009,13.646847,52.68251,7.85066
AC018557.3,181.62268,188.30151,28.68571,13.448359,21.815344,46.32422,21.555357,0.0
AC018557.2,63.969208,41.01985,5.4781985,0.0,2.1589887,9.026332,3.171954,3.171954
TERB1,6.0392256,33.476555,0.0,0.0,0.0,0.0,15.346735,5.465043
NAE1,134.37651,1402.3271,37.391697,122.16926,34.51332,199.72508,160.84705,15.817679
PDP2,13.338532,123.595055,0.0,60.009327,2.6066847,36.117622,0.0,0.0
RRAD,25.987581,10.708266,3.7577534,0.0,0.0,0.0,0.0,0.0
CIAO2B,559.71765,1892.7993,324.38486,210.04747,160.28767,535.634,282.17715,33.11398
CES2,443.06332,452.2472,55.739006,29.257177,67.88444,68.58233,64.57474,2.6438892
CES4A,94.62991,60.259373,24.469856,0.0,0.0,10.156705,18.509518,0.0
CBFB,1186.4374,1860.683,193.8596,205.9181,97.57696,426.3402,333.61752,32.80526
C16orf70,638.778,300.319,65.834206,44.325783,32.2468,84.78092,57.58821,9.498839
B3GNT9,0.0,39.156303,5.2714324,0.0,0.0,13.192045,11.738739,4.6822433
TRADD,335.16745,2413.6465,159.449,97.2299,91.269196,317.96915,236.27628,7.016537
FBXL8,100.85386,409.7444,12.565843,17.59607,0.0,46.96605,18.165188,0.0
HSF4,41.44442,31.001163,10.549675,0.0,8.1371355,16.173561,7.2432146,0.0
NOL3,150.87663,64.1203,0.0,0.0,8.1371355,0.0,0.0,0.0
KIAA0895L,71.52092,56.392982,10.314646,17.394333,9.20459,0.0,2.574561,2.574561
EXOC3L1,171.8183,8.228695,28.970236,0.0,8.811531,5.2385116,0.0,0.0
E2F4,326.5196,559.57825,81.1107,82.77886,44.086086,175.09335,91.48465,5.8949986
ELMO3,46.833683,27.008263,6.046605,8.773487,0.0,20.75375,18.664902,0.0
LRRC29,118.03668,175.8558,30.764519,35.20918,8.16648,19.756989,5.1839013,5.1839013
TMEM208,338.63892,821.2897,156.75002,75.63282,48.50527,230.59271,84.84913,8.897259
FHOD1,253.73482,177.82385,41.075542,22.134853,50.61492,66.52532,36.621853,5.9329433
SLC9A5,28.48036,84.59462,7.7483187,6.954007,0.0,18.215982,0.0,0.0
PLEKHG4,14.580828,115.97601,4.030533,0.0,2.602593,0.0,6.3102655,0.0
KCTD19,3.401009,17.951729,0.0,0.0,3.401009,0.0,27.991177,19.872519
LRRC36,17.072433,13.640292,1.8139868,0.0,0.0,0.0,31.546034,34.62981
TPPP3,140.38257,15.539646,138.40608,14.368319,71.446495,6.284206,0.0,0.0
ZDHHC1,186.11366,41.2714,59.95954,0.0,13.539465,0.0,0.0,0.0
HSD11B2,40.544533,7.5176497,5.219647,6.779807,3.98007,12.3967495,0.0,0.0
ATP6V0D1,2433.4995,1212.7705,511.0508,171.03064,269.6354,250.92953,331.8986,18.556236
AC009061.2,404.32138,668.2811,7.493446,25.423979,29.684563,61.20591,194.66705,13.566409
AC027682.6,19.474974,27.89031,5.199425,0.0,0.0,0.0,55.31637,0.0
